epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.82854,1.27144,2.23457,0.85625,1.10796,0.87259,0.78325,0.86164,0.50338,0.87912,0.78911,0.85463,0.46227,1.38135,2.37496,0.8799,1.16291,0.000663063,0.000663063,0.000663063
2,18.936,1.33865,2.29903,0.93318,1.13373,0.86544,0.79765,0.85803,0.52918,0.85876,0.78455,0.84415,0.46429,1.3302,2.34352,0.89447,1.13122,0.00119809,0.00119809,0.00119809
3,27.809,1.34958,2.2835,0.94631,1.1497,0.86,0.79179,0.85917,0.51682,0.88405,0.77126,0.84511,0.46082,1.39332,2.3681,0.91799,1.15752,0.00160111,0.00160111,0.00160111
4,36.5911,1.35127,2.29363,1.00756,1.15611,0.87384,0.77419,0.86117,0.52625,0.88799,0.76718,0.85184,0.48197,1.42488,2.28388,0.9096,1.14852,0.001406,0.001406,0.001406
5,45.383,1.31096,2.21767,0.91104,1.12322,0.87891,0.76629,0.85488,0.52119,0.89209,0.75152,0.83546,0.4636,1.38998,2.374,0.90381,1.16155,0.001208,0.001208,0.001208
6,54.2321,1.24373,2.14731,0.87946,1.1006,0.90094,0.80645,0.88449,0.55595,0.90281,0.80938,0.88524,0.50028,1.3108,2.19727,0.82966,1.11134,0.00101,0.00101,0.00101
7,63.4737,1.23621,2.09814,0.81022,1.08896,0.90631,0.82405,0.90302,0.58315,0.90631,0.82405,0.88949,0.50418,1.22602,2.18413,0.78174,1.0864,0.000812,0.000812,0.000812
8,72.2715,1.20995,2.06142,0.78248,1.08145,0.89702,0.81742,0.89596,0.56737,0.89545,0.80377,0.87323,0.50273,1.2736,2.16514,0.79352,1.09673,0.000614,0.000614,0.000614
9,81.0356,1.16803,2.03125,0.74266,1.06941,0.93144,0.79685,0.89494,0.57079,0.92801,0.79392,0.88436,0.51091,1.26105,2.13733,0.77195,1.09585,0.000416,0.000416,0.000416
10,89.8338,1.11119,1.95771,0.7036,1.04802,0.91962,0.83876,0.91576,0.59941,0.93654,0.82225,0.90592,0.52731,1.21556,2.08881,0.71805,1.07377,0.000218,0.000218,0.000218
